对	<b>对</b>！	That's right.		https://en.wiktionary.org/wiki/對	CC-BY 2.0 (France) Attribution: tatoeba.org #1216015 (AlanRominger) & #4952918 (murr)
不	<b>不</b>对。	It's wrong.	That's wrong.<br>It's not right.<br>That isn't right.<br>That's not right.	https://en.wiktionary.org/wiki/不	CC-BY 2.0 (France) Attribution: tatoeba.org #1537010 (Spamster) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2111384 (CK) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1723740 (Spamster) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2250119 (CK) & #10961087 (xjjAstrus)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #2251164 (CK) & #10961087 (xjjAstrus)
可能	不<b>可能</b>！	No way!	It can't be!	https://en.wiktionary.org/wiki/可能	CC-BY 2.0 (France) Attribution: tatoeba.org #2175 (CM) & #503298 (fucongcong)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #1501 (CK) & #503298 (fucongcong)
的	不可能<b>的</b>。	That can't be it.		https://en.wiktionary.org/wiki/的	CC-BY 2.0 (France) Attribution: tatoeba.org #3439587 (CK) & #9962371 (GlossaMatik)
这	<b>这</b>不可能！	It can't be!		https://en.wiktionary.org/wiki/這	CC-BY 2.0 (France) Attribution: tatoeba.org #1501 (CK) & #334699 (fucongcong)
真的	<b>真的</b>？	Is that true?		https://en.wiktionary.org/wiki/真的	CC-BY 2.0 (France) Attribution: tatoeba.org #322153 (CK) & #1397360 (mtdot)
不是	这<b>不是</b>真的。	This is not true.		https://en.wiktionary.org/wiki/不是	CC-BY 2.0 (France) Attribution: tatoeba.org #370573 (saeb) & #409219 (GlossaMatik)
我	不是<b>我</b>的。	It's not mine.		https://en.wiktionary.org/wiki/我	CC-BY 2.0 (France) Attribution: tatoeba.org #1894573 (CK) & #5673830 (xjjAstrus)
你	<b>你</b>不是我。	You're not me.		https://en.wiktionary.org/wiki/你	CC-BY 2.0 (France) Attribution: tatoeba.org #2218273 (CK) & #5341690 (xjjAstrus)
是	这可能<b>是</b>真的，可能不是。	It may or may not be true.		https://en.wiktionary.org/wiki/是	CC-BY 2.0 (France) Attribution: tatoeba.org #42095 (CK) & #336680 (fucongcong)
嗎	真的是可能的<b>嗎</b>？	Is it really possible?		https://en.wiktionary.org/wiki/嗎	CC-BY 2.0 (France) Attribution: tatoeba.org #1538643 (CM) & #4455714 (egg0073)
有	你<b>有</b>嗎？	Do you have one?	Do you have some?	https://en.wiktionary.org/wiki/有	CC-BY 2.0 (France) Attribution: tatoeba.org #16547 (CK) & #793230 (Martha)<br>CC-BY 2.0 (France) Attribution: tatoeba.org #10061387 (DJ_Saidez) & #793230 (Martha)
吗	你是对的<b>吗</b>？	Were you right?		https://en.wiktionary.org/wiki/嗎	CC-BY 2.0 (France) Attribution: tatoeba.org #2254510 (CK) & #5640753 (verdastelo9604)
